,Age,G1,GS1,Cmp1,Att1,Yds1,TD1,Int2,Att2,Yds2,Y/A2,TD2,Tgt3,Rec3,Yds3,Y/R3,TD3,Fmb4,FL4,TD4,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Rating,Class
33,26.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,101.0,439.0,4.35,4.0,39.0,30.0,239.0,7.97,0.0,1.0,0.0,4.0,0.0,0.0,92.0,121.8,127.8,106.8,21.0,16.0,41.0,22.76,1
34,24.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,5.0,0.0,88.0,53.0,677.0,12.77,3.0,1.0,1.0,3.0,0.0,0.0,87.0,140.2,144.2,113.7,21.0,16.0,42.0,23.98,0
35,22.0,8.0,8.0,1.0,2.0,11.0,0.0,0.0,1.0,11.0,11.0,0.0,68.0,46.0,632.0,13.74,4.0,1.0,1.0,4.0,0.0,0.0,87.0,132.7,136.7,109.7,20.0,17.0,44.0,25.01,0
36,26.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,44.0,529.0,12.02,2.0,0.0,0.0,2.0,1.0,0.0,67.0,110.9,113.9,88.9,16.0,3.0,46.0,19.38,0
37,26.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,76.0,43.0,573.0,13.33,4.0,0.0,0.0,4.0,0.0,0.0,83.0,125.5,128.5,104.0,16.0,19.0,47.0,21.69,0
38,25.0,9.0,6.0,1.0,1.0,33.0,0.0,0.0,1.0,11.0,11.0,0.0,48.0,40.0,545.0,13.63,4.0,0.0,0.0,4.0,0.0,0.0,81.0,120.9,123.9,100.9,15.0,20.0,48.0,14.24,0
39,27.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,27.0,316.0,11.7,5.0,0.0,0.0,5.0,0.0,0.0,62.0,88.6,91.6,75.1,11.0,4.0,50.0,18.74,0
40,28.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,25.0,313.0,12.52,5.0,0.0,0.0,5.0,0.0,0.0,61.0,86.3,89.3,73.8,11.0,5.0,51.0,10.99,0
41,28.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,48.0,588.0,12.25,3.0,1.0,0.0,3.0,0.0,0.0,77.0,124.8,127.8,100.8,10.0,21.0,52.0,23.73,0
42,25.0,9.0,9.0,195.0,286.0,2497.0,20.0,11.0,21.0,44.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,164.0,164.3,178.3,175.3,10.0,9.0,53.0,15.13,3
43,28.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,83.0,57.0,641.0,11.25,2.0,0.0,0.0,2.0,0.0,0.0,77.0,133.6,136.6,105.1,10.0,22.0,54.0,17.74,0
44,29.0,9.0,9.0,190.0,300.0,2198.0,17.0,3.0,29.0,121.0,4.17,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,164.0,164.0,176.0,167.0,10.0,10.0,55.0,17.34,3
45,21.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,36.0,546.0,15.17,1.0,0.0,0.0,1.0,0.0,0.0,61.0,96.6,99.6,78.6,10.0,7.0,57.0,20.28,0
46,25.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,37.0,424.0,11.46,3.0,0.0,0.0,3.0,0.0,0.0,60.0,97.4,100.4,78.9,10.0,8.0,58.0,15.01,0
47,29.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,41.0,579.0,14.12,3.0,0.0,0.0,3.0,0.0,0.0,76.0,116.9,119.9,96.4,10.0,23.0,59.0,19.77,0
48,29.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,40.0,470.0,11.75,2.0,0.0,0.0,2.0,0.0,0.0,59.0,99.0,102.0,79.0,8.0,9.0,61.0,23.57,0
49,25.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,12.0,0.0,69.0,45.0,530.0,11.78,3.0,0.0,0.0,3.0,0.0,0.0,75.0,119.6,122.6,97.1,8.0,25.0,62.0,21.55,0
50,24.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,48.0,448.0,9.33,2.0,0.0,0.0,2.0,1.0,0.0,59.0,106.8,109.8,82.8,8.0,10.0,63.0,21.15,0
51,26.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,41.0,588.0,14.34,2.0,0.0,0.0,2.0,1.0,0.0,73.0,113.8,116.8,93.3,6.0,27.0,66.0,18.17,0
52,34.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,51.0,28.0,478.0,17.07,4.0,0.0,0.0,4.0,0.0,0.0,73.0,100.5,103.5,86.5,6.0,28.0,67.0,14.9,0
53,33.0,8.0,8.0,206.0,302.0,2140.0,16.0,2.0,12.0,76.0,6.33,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,159.0,159.2,164.2,161.2,5.0,11.0,69.0,16.9,3
54,26.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,27.0,401.0,14.85,2.0,1.0,0.0,2.0,1.0,0.0,54.0,81.1,84.1,67.6,3.0,11.0,71.0,16.95,2
55,26.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,115.0,554.0,4.82,2.0,23.0,15.0,85.0,5.67,0.0,2.0,1.0,2.0,0.0,0.0,74.0,88.9,92.9,81.4,3.0,21.0,72.0,23.97,2
