Player,Rating,Age,G1,GS1,Cmp1,Att1,Yds1,TD1,Int2,Att2,Yds2,Y/A2,TD2,Tgt3,Rec3,Yds3,Y/R3,TD3,Fmb4,FL4,TD4,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Davante Adams,27.24,29.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00,58.00,786.00,13.55,3.00,0.00,0.00,3.00,0.00,0.00,97.00,154.60,157.60,125.60,30.00,8.00,28.00
Mike Williams,21.79,27.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,37.00,575.00,15.54,6.00,0.00,0.00,6.00,1.00,0.00,96.00,132.50,135.50,114.00,29.00,10.00,29.00
D'Andre Swift,26.70,22.00,8.00,1.00,0.00,1.00,0.00,0.00,0.00,90.00,289.00,3.21,3.00,57.00,47.00,415.00,8.83,2.00,1.00,1.00,5.00,0.00,0.00,98.00,145.40,152.40,121.90,27.00,14.00,32.00
Mark Andrews,21.88,26.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,42.00,560.00,13.33,3.00,1.00,0.00,3.00,2.00,0.00,78.00,120.00,123.00,99.00,27.00,2.00,33.00
Melvin Gordon,22.73,28.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,109.00,477.00,4.38,4.00,25.00,20.00,163.00,8.15,2.00,1.00,1.00,6.00,0.00,0.00,98.00,118.00,125.00,108.00,27.00,15.00,34.00
Robert Woods,28.84,29.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,8.00,46.00,5.75,1.00,69.00,45.00,556.00,12.36,4.00,0.00,0.00,5.00,1.00,0.00,92.00,137.20,140.20,114.70,26.00,12.00,35.00
Justin Herbert,21.33,23.00,8.00,8.00,211.00,319.00,2350.00,18.00,6.00,28.00,95.00,3.39,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.00,3.00,180.00,179.50,189.50,185.50,25.00,7.00,36.00
Adam Thielen,24.08,31.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,0.00,66.00,45.00,477.00,10.60,7.00,1.00,0.00,7.00,0.00,0.00,90.00,134.90,137.90,112.40,24.00,14.00,39.00
CeeDee Lamb,23.66,22.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,4.00,18.00,4.50,0.00,66.00,41.00,632.00,15.41,4.00,0.00,0.00,4.00,0.00,0.00,89.00,130.00,133.00,109.50,23.00,15.00,40.00
Leonard Fournette,22.76,26.00,8.00,7.00,0.00,1.00,0.00,0.00,0.00,101.00,439.00,4.35,4.00,39.00,30.00,239.00,7.97,0.00,1.00,0.00,4.00,0.00,0.00,92.00,121.80,127.80,106.80,21.00,16.00,41.00
D.J. Moore,23.98,24.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,7.00,35.00,5.00,0.00,88.00,53.00,677.00,12.77,3.00,1.00,1.00,3.00,0.00,0.00,87.00,140.20,144.20,113.70,21.00,16.00,42.00
Justin Jefferson,25.01,22.00,8.00,8.00,1.00,2.00,11.00,0.00,0.00,1.00,11.00,11.00,0.00,68.00,46.00,632.00,13.74,4.00,1.00,1.00,4.00,0.00,0.00,87.00,132.70,136.70,109.70,20.00,17.00,44.00
